"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Imagem Aleatória","3","0","","0"
"0","","0","Imagens por Raça","4","0","Consulta por Raça","0"
"0","","0","Listagem de Raças","1","0","Performance","0"
"0","","0","Lupa de Pesquisa","4","0","Pesquisa de Posts","0"
"0","","0","Imagem Aleatória","2","0","Consulta Simples","0"
"0","","3","Imagem Aleatória","0","0","Validar parâmetros inválidos","0"
"0","","0","Imagens por Raça","1","0","Consulta por Sub-raça","0"
"0","","1","Imagens por Raça","0","0","Performance","0"
"0","","1","Imagem Aleatória","0","0","Performance","0"
"0","","0","Listagem de Raças","1","0","Consulta Específica","0"
"0","","0","Imagens por Raça","1","0","Fluxo de Exceção","0"
"0","","0","Imagem Aleatória","1","0","Múltiplas Imagens","0"
"0","","0","Listagem de Raças","1","0","Consulta Geral","0"
