"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5475","Validar busca funcional com termos genéricos","","Thu Apr 02 17:39:02 UTC 2026","passed","Thu Apr 02 17:39:07 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","validarInputInvalido"
"","584","Validar busca funcional sem textos","","Thu Apr 02 17:39:07 UTC 2026","passed","Thu Apr 02 17:39:08 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","testarBuscaVazia"
"","1030","Validar tempo de resposta","","Thu Apr 02 17:39:27 UTC 2026","passed","Thu Apr 02 17:39:28 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveResponderEmTempoAceitavel"
"","266","Validar erro 404 para raça inexistente","","Thu Apr 02 17:39:18 UTC 2026","passed","Thu Apr 02 17:39:18 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveRetornarErroParaRacaInexistente"
"","315","Validar contrato e integridade das imagens Validar raça: bulldog","","Thu Apr 02 17:39:16 UTC 2026","passed","Thu Apr 02 17:39:17 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveValidarContratoEImagensPorRaca"
"","1110","Validar contrato e status success","","Thu Apr 02 17:39:23 UTC 2026","passed","Thu Apr 02 17:39:24 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarSucessoEValidarSchema"
"A API aceita letras e retorna 200/sucesso, ignorando a tipagem do parâmetro.","1166","BUG: Erro 400 para input não numérico","","Thu Apr 02 17:39:26 UTC 2026","failed","Thu Apr 02 17:39:27 UTC 2026","","api.tests.RandomImageTest","api.tests.RandomImageTest","deveRetornarErroParaParametroNaoNumerico"
"","2112","Validar SLA de resposta","","Thu Apr 02 17:39:12 UTC 2026","passed","Thu Apr 02 17:39:14 UTC 2026","","api.tests.BreedImagesTest","api.tests.BreedImagesTest","deveResponderDentroDoSLA"
"","510","Validar busca funcional com termos inexistente","","Thu Apr 02 17:39:08 UTC 2026","passed","Thu Apr 02 17:39:09 UTC 2026","","web.BuscaBlogAgibankTest","web.BuscaBlogAgibankTest","buscarTermoInexistente"
"","227","Validar SLA de resposta","","Thu Apr 02 17:39:18 UTC 2026","passed","Thu Apr 02 17:39:18 UTC 2026","","api.tests.BreedsListTest","api.tests.BreedsListTest","deveResponderDentroDoSLA"
